threshold,far,frr,tar
-0.09721522,0.96393990,0.00100435,0.99899565
-0.09717231,0.96360601,0.00100435,0.99899565
-0.09701860,0.96327212,0.00100435,0.99899565
-0.09688246,0.96293823,0.00100435,0.99899565
-0.09684902,0.96260434,0.00100435,0.99899565
-0.09638633,0.96227045,0.00100435,0.99899565
-0.09614488,0.96193656,0.00100435,0.99899565
-0.09569261,0.96160267,0.00100435,0.99899565
-0.09559391,0.96126878,0.00100435,0.99899565
-0.09555125,0.96093489,0.00100435,0.99899565
-0.09520018,0.96060100,0.00100435,0.99899565
-0.09516346,0.96026711,0.00100435,0.99899565
-0.09507652,0.96026711,0.00133914,0.99866086
-0.09497487,0.95993322,0.00133914,0.99866086
-0.09476226,0.95959933,0.00133914,0.99866086
-0.09452105,0.95926544,0.00133914,0.99866086
-0.09446307,0.95893155,0.00133914,0.99866086
-0.09403302,0.95859766,0.00133914,0.99866086
-0.09337482,0.95826377,0.00133914,0.99866086
-0.09310118,0.95792988,0.00133914,0.99866086
-0.09306787,0.95759599,0.00133914,0.99866086
-0.09262608,0.95726210,0.00133914,0.99866086
-0.09238324,0.95692821,0.00133914,0.99866086
-0.09192393,0.95659432,0.00133914,0.99866086
-0.09189692,0.95626043,0.00133914,0.99866086
-0.09183064,0.95592654,0.00133914,0.99866086
-0.09173909,0.95559265,0.00133914,0.99866086
-0.09158584,0.95525876,0.00133914,0.99866086
-0.09153426,0.95492487,0.00133914,0.99866086
-0.09153155,0.95459098,0.00133914,0.99866086
-0.09130424,0.95459098,0.00167392,0.99832608
-0.09116266,0.95425710,0.00167392,0.99832608
-0.09102894,0.95392321,0.00167392,0.99832608
-0.09083056,0.95358932,0.00167392,0.99832608
-0.09021910,0.95325543,0.00167392,0.99832608
-0.09015080,0.95292154,0.00167392,0.99832608
-0.09013331,0.95258765,0.00167392,0.99832608
-0.09003677,0.95225376,0.00167392,0.99832608
-0.08997872,0.95191987,0.00167392,0.99832608
-0.08953629,0.95158598,0.00167392,0.99832608
-0.08932012,0.95125209,0.00167392,0.99832608
-0.08930813,0.95091820,0.00167392,0.99832608
-0.08887080,0.95058431,0.00167392,0.99832608
-0.08870269,0.95025042,0.00167392,0.99832608
-0.08869247,0.94991653,0.00167392,0.99832608
-0.08867783,0.94958264,0.00167392,0.99832608
-0.08856274,0.94924875,0.00167392,0.99832608
-0.08835336,0.94891486,0.00167392,0.99832608
-0.08779863,0.94858097,0.00167392,0.99832608
-0.08770614,0.94824708,0.00167392,0.99832608
-0.08767053,0.94791319,0.00167392,0.99832608
-0.08757129,0.94757930,0.00167392,0.99832608
-0.08750442,0.94724541,0.00167392,0.99832608
-0.08727698,0.94691152,0.00167392,0.99832608
-0.08712343,0.94657763,0.00167392,0.99832608
-0.08675905,0.94624374,0.00167392,0.99832608
-0.08651236,0.94590985,0.00167392,0.99832608
-0.08582889,0.94557596,0.00167392,0.99832608
-0.08525449,0.94524207,0.00167392,0.99832608
-0.08520165,0.94490818,0.00167392,0.99832608
-0.08485829,0.94457429,0.00167392,0.99832608
-0.08480977,0.94424040,0.00167392,0.99832608
-0.08477794,0.94390651,0.00167392,0.99832608
-0.08476032,0.94357262,0.00167392,0.99832608
-0.08468650,0.94323873,0.00167392,0.99832608
-0.08454554,0.94290484,0.00167392,0.99832608
-0.08449390,0.94257095,0.00167392,0.99832608
-0.08436874,0.94223706,0.00167392,0.99832608
-0.08436225,0.94190317,0.00167392,0.99832608
-0.08362375,0.94156928,0.00167392,0.99832608
-0.08356281,0.94123539,0.00167392,0.99832608
-0.08340029,0.94090150,0.00167392,0.99832608
-0.08338374,0.94056761,0.00167392,0.99832608
-0.08334860,0.94023372,0.00167392,0.99832608
-0.08327306,0.93989983,0.00167392,0.99832608
